Timestamp,InputSize,BubbleSort,MergeSort,QuickSort,StandardSort
2025-11-23 12:58:34,120,2226,1141,479,213
2025-11-23 12:58:34,120,2571,1144,479,211
2025-11-23 12:58:34,120,1338,382,172,75
2025-11-23 12:58:34,120,769,371,171,74
2025-11-23 12:58:34,120,775,374,203,108
2025-11-23 12:58:34,120,1798,1127,509,219
2025-11-23 12:58:34,120,2267,1095,541,215
2025-11-23 12:58:34,120,2595,1176,510,218
2025-11-23 12:58:34,120,2212,1085,483,213
2025-11-23 12:58:34,120,2214,1077,496,214
2025-11-23 12:58:34,120,2379,1241,492,215
2025-11-23 12:58:34,120,2207,1068,478,211
2025-11-23 12:58:34,120,2011,876,395,77
2025-11-23 12:58:34,120,769,374,172,73
2025-11-23 12:58:34,120,757,374,168,73
2025-11-23 12:58:34,120,761,370,167,73
2025-11-23 12:58:34,120,761,386,167,73
2025-11-23 12:58:34,120,814,389,172,76
2025-11-23 12:58:34,120,791,377,185,87
2025-11-23 12:58:34,120,828,371,168,74
2025-11-23 12:58:34,120,768,384,171,76
2025-11-23 12:58:34,120,779,380,171,82
2025-11-23 12:58:34,120,786,382,168,75
2025-11-23 12:58:34,120,796,379,180,76
2025-11-23 12:58:34,120,806,383,168,74
2025-11-23 12:58:34,120,774,377,167,73
2025-11-23 12:58:34,120,796,379,170,75
2025-11-23 12:58:34,120,728,373,167,78
2025-11-23 12:58:34,120,758,388,171,73
2025-11-23 12:58:34,120,803,401,171,75
2025-11-23 12:58:34,120,782,381,172,74
2025-11-23 12:58:34,120,771,375,169,74
2025-11-23 12:58:34,120,778,383,171,75
2025-11-23 12:58:34,120,784,377,176,93
2025-11-23 12:58:34,120,797,450,196,83
2025-11-23 12:58:34,120,783,384,168,74
2025-11-23 12:58:34,120,766,363,167,82
2025-11-23 12:58:34,120,773,365,171,76
2025-11-23 12:58:34,120,750,373,177,75
2025-11-23 12:58:34,120,757,405,178,78
2025-11-23 12:58:34,120,762,378,168,74
2025-11-23 12:58:34,120,764,381,166,73
2025-11-23 12:58:34,120,763,380,166,73
2025-11-23 12:58:34,120,757,379,168,81
2025-11-23 12:58:34,120,771,414,182,74
2025-11-23 12:58:34,120,779,367,175,73
2025-11-23 12:58:34,120,767,376,170,74
2025-11-23 12:58:34,120,785,382,212,103
2025-11-23 12:58:34,120,808,381,177,75
2025-11-23 12:58:34,120,784,369,167,74
2025-11-23 12:58:34,120,792,503,207,75
2025-11-23 12:58:34,120,868,384,180,75
2025-11-23 12:58:34,120,774,377,171,74
2025-11-23 12:58:34,120,765,381,169,74
2025-11-23 12:58:34,120,771,390,172,75
2025-11-23 12:58:34,120,774,378,171,74
2025-11-23 12:58:34,120,771,376,174,74
2025-11-23 12:58:34,120,774,377,198,78
2025-11-23 12:58:34,120,758,387,168,82
2025-11-23 12:58:34,120,764,376,184,81
2025-11-23 12:58:34,120,779,393,169,75
2025-11-23 12:58:34,120,769,379,167,78
2025-11-23 12:58:34,120,765,379,167,74
2025-11-23 12:58:34,120,763,379,170,73
2025-11-23 12:58:34,120,766,375,166,74
2025-11-23 12:58:34,120,763,384,173,74
2025-11-23 12:58:34,120,764,372,168,74
2025-11-23 12:58:34,120,757,384,168,74
2025-11-23 12:58:34,120,775,392,172,74
2025-11-23 12:58:34,120,888,386,172,77
2025-11-23 12:58:34,120,763,372,173,74
2025-11-23 12:58:34,120,791,375,171,75
2025-11-23 12:58:34,120,774,386,172,75
2025-11-23 12:58:34,120,786,378,171,74
2025-11-23 12:58:34,120,768,380,169,74
2025-11-23 12:58:34,120,757,376,183,73
2025-11-23 12:58:34,120,758,384,172,75
2025-11-23 12:58:34,120,783,374,171,79
2025-11-23 12:58:34,120,775,392,173,75
2025-11-23 12:58:34,120,784,376,176,74
2025-11-23 12:58:34,120,767,376,172,76
2025-11-23 12:58:34,120,792,400,178,74
2025-11-23 12:58:34,120,767,375,168,74
2025-11-23 12:58:34,120,762,380,169,74
2025-11-23 12:58:34,120,769,376,171,79
2025-11-23 12:58:34,120,778,382,171,74
2025-11-23 12:58:34,120,791,377,176,78
2025-11-23 12:58:34,120,770,374,174,74
2025-11-23 12:58:34,120,773,382,174,75
2025-11-23 12:58:34,120,773,376,172,74
2025-11-23 12:58:34,120,836,394,171,76
2025-11-23 12:58:34,120,772,391,179,75
2025-11-23 12:58:34,120,792,377,170,74
2025-11-23 12:58:34,120,770,376,177,74
2025-11-23 12:58:34,120,764,379,170,74
2025-11-23 12:58:34,120,773,383,171,74
2025-11-23 12:58:34,120,782,375,172,75
2025-11-23 12:58:34,120,770,387,171,75
2025-11-23 12:58:34,120,784,376,171,82
2025-11-23 12:58:34,120,786,389,168,73
2025-11-29 18:27:02,120,2026,1168,509,229
